"","x"
"1"," 오류를 우회하기 위한 함수 추가 소비자물가 개월만 상승 장마 피해 신선식품 아이뉴스 이연춘 기자 올해 월부터 지속된 장마로 채소 가격 상승세가 심상치 않다 채소값 등 식탁물가 고공행진은 다음달 추석물가 관리에 비상이 걸렸다 긴 장마에 배추 상추 등 신선채소류 물가가 년 전보다 나 급등했다 일각에선 코로나 사태로 경기가 침체하고 고용불안이 심화하는 가운데 밥상물가마저 들썩 거리면서 우려하는 분위기가 역력하다 일 통계청의 소비자물가 동향 에 따르면 월 소비자물가지수는 년 으로 지난해 같은 달보다 상승했다 소비자물가 상승률은 지난 월에 대로 유지했지만 코로나 이후 월에 대 초반으로 떨어졌고 월엔 마이너스 월에는 보합 을 기록했다 물가 상승을 주도한 품목은 신선식품이다 장마로 출하가 감소한 신선채소류 신선어개류 신선과일 값까지 가격을 끌어올렸다 이들을 포함한 신선식품지수는 올라 년 월 이후 년 개월만에 최대 상승폭을 기록했다 배추 가격이 오른 것을 비롯해 상추 고구마 양파 등이 대의 급등세를 보였다 반면 콩 을 비롯해 고춧가루 마늘 생강 등은 큰폭 하락했다 이를 포함한 전체 농축수산물 가격이 올라 소비자물가를 포인트 끌어올렸다 돼지고기가 국산쇠고기가 상승하는 등 축산물 가격도 올랐다 품목별로 살펴보면 농 축 수산물 가격이 상승했고 공업 제품은 하락했다 전기 수도 가스는 떨어졌으며 서비스 물가 상승률은 에 그쳤다 안형준 통계청 경제동향통계심의관은 최근 장마로 채소 가격이 상승했다 며 지난해 월과 비교했을 때 기저효과도 작용했다 고 밝혔다 지난해 월부터 순차적으로 진행 중인 교육 분야 정책 요인 코로나 이후 월 저점을 기록한 뒤 여전히 낮은 수준인 국제유가 석유류와 연동된 도시가스 가격의 인하 사회적 거리두기에 따른 외식물가 상승폭 둔화 등이 저물가의 원인이라고 그는 설명했다 전문가들은 이처럼 코로나 영향 등으로 저물가가 지속되고 있지만 장마가 월까지 이어지면서 신선식품 중심의 밥상물가는 추석물가까지 고공행진을 지속할 가능성이 높다고 전망했다 장마가 길어지면 신선식품은 병해가 늘어날 가능성이 크다는 것 이 때문에 병해 때문에 가격 오를 여지가 높은 상황이다 결국 출하물량 감소로 최상품의 도매가격은 상승하고 날씨 영향에 품질이 더 떨어진 중하품 가격은 하락하는 등 양극화가 심해질 것으로 예상된다 연 심의관은 월 소비자물가는 장마 태풍 등 기후여건 및 향후 코로나 전개양상 등이 주요 변수로 작용할 전망 이라며 정부는 소비자물가 흐름 및 물가 상 하방 리스크 요인을 면밀히 모니터링하면서 우리 경제에 미치는 영향을 종합적으로 점검하고 대응해 나갈 계획 이라고 강조했다 이연춘기자 네이버 채널에서 아이뉴스 를 구독해주세요 재밌는 아이뉴스 영상보기 아이뉴스 바로가기 아이뉴스 무단전재 및 재배포 금지 "
"2"," 오류를 우회하기 위한 함수 추가 코로나 서민생계지원위원회 대구시만 천 명 조사 결과지난 차 생계자금 지원이 도움됐다는 응답 지난달 일 권영진 대구시장이 대구시청에서 차 생계자금 지급 관련 대시민 담화문을 발표하고 있다 우태욱 기자 대구시민 대다수가 모든 시민을 대상으로 하는 차 긴급생계자금을 찬성하는 것으로 나타났다 앞으로 지급 시기는 추석 이전이 좋다는 응답이 주를 이뤘다 일 대구시에 따르면 코로나 서민생계지원위원회가 지난달 일 한국고객만족경영학회에 의뢰해 대구시민 천 명을 대상으로 조사한 결과 모든 시민에게 지원하는 차 긴급생계자금을 가 찬성했다 지급 시기는 추석 전 지급이 적절 더 빠른 시기 지급 필요 등 추석 이전 지급이 좋다는 의견이 를 차지했다 지급수단은 현금 계좌이체가 로 가장 많았고 신용 체크카드는 였다 는 어떤 수단이든 상관없다 라고 답했다 지난 월 중위소득 이하 가구에 지급한 차 생계자금이 생활안정에 도움이 됐다는 응답은 로 나타났다 이 중 다소 도움됐다 가 였고 매우 도움됐다 도 였다 향후 대응과제로는 응답자의 가 코로나 방역 및 경제살리기 병행 을 꼽았고 경제살리기 우선 이 코로나 방역이 우선 이 로 응답했다 김태일 코로나 서민생계지원위원회 위원장은 차 생계자금과 정부 긴급재난지원금 효과가 사라지기 전에 차 생계자금을 지급해 회복의 불씨가 끄지지 않도록 해야 한다 며 차 생계자금을 추석 전 지급할 수 있도록 준비하고 있다 고 했다 서광호 기자 네이버에서 매일신문 구독하기 매일신문 네이버 바로가기 매일신문 "
"3"," 오류를 우회하기 위한 함수 추가 일주일만에 배추 배 청경채 배 과일도 수확량 줄어 도매가격 오름세병해 낙과 부패 등 각종 피해 커 앞으로 두달간은 줄인상 예상 돼 추석 김장 물가까지 영향 줄 듯 폭우에역대급 장마로 국내 농산물 수급이 불안정해지면서 도매가격이 최고 배씩 오르며 요동치고 있다 농가들의 피해 복구 작업이 더뎌질 경우 추석 식탁물가에도 상당한 영향을 미칠 것으로 예상된다 일 농협 하나로마트 경기 연천점에 야채들이 진열돼 있다 한주형 기자 전국을 휩쓸고 있는 기록적 폭우에 농산물 가격도 급등세를 보이고 있다 평년보다 훨씬 길고 많은 양의 비가 이어지면서 농작물이 큰 피해를 입거나 출하가 원활치 못한 탓이다 일부 채소들은 도매가격이 불과 일주일 사이 배 가량 뛰었고 소매가격도 줄인상될 것이라는 전망이 나온다 기상청에 따르면 최소한 다음주 중반까지는 비가 계속될 것으로 보여 피해 농가들의 복구도 미뤄질 수 있어 추석 가을 물가에도 작지 않은 영향을 끼칠 것으로 염려된다 일 서울시농수산식품공사에 따르면 가락시장에서 이날 새벽 거래된 주요 채소류들의 도매가격 대부분이 직전 주인 월 일 대비 큰 폭으로 상승한 것으로 나타났다 지난 한 주간 흡사 열대지방 우기 를 연상케하는 긴 장마로 출하량이 큰폭으로 감소하고 상품질이 대체적으로 저하된 탓이다 가장 많이 오른 것은 엽채소인 비타민 이다 한 상자 가 만 원에 거래됐는데 전주 대비 무려 배나 오른 가격이다 배추얼갈이 한 상자 는 일주일만에 배 상승한 만 원에 거래됐다 청경채 한 상자 가격도 배나 올랐다 가락시장에서 근무하는 한 경매사는 하우스가 물에 잠기거나 비 피해를 크게 입으신 농민들이 많아 수확량 자체가 줄고 시세가 오르고 있다 며 당장 비 피해를 입지 않은 농가라 해도 높은 습도와 온도 때문에 썩어 산지에서 폐기처분하는 채소들도 많아질 것 이라고 말했다 그는 피해 복구가 이뤄질 때까지 앞으로 두달 정도는 시세가 오를 수밖에 없다 며 추석 물가에도 충분히 영향을 끼칠 것 이라고 덧붙였다 특히 배추 가격의 상승은 다가오는 늦가을 김장 물가에까지 영향을 줄 수 있다 예년보다 배추 출하량이 줄어든데다 장마로 인한 병해 확대까지 겹친다면 금배추 가 될 수 있다는 우려도 나온다 한은수 한국농촌경제연구원 엽근채소팀장은 장마가 길어지면 배추 부분은 병해가 늘어날 가능성이 크다 병해 때문에 가격 오를 여지가 높다 면서 배추는 올해 월 출하량이 장마와 관계없이 예년보다 감소한 상황인데 이미 줄어든 출하량에 장마가 길어지면 가격변동에 영향을 더 크게 줄 수 있다 고 말했다 우리 식탁에 비교적 자주 오르는 채소인 애호박 가격도 크게 뛰고 있다 애호박은 비가 많이 오면 수정 이 되질 않아 낙과가 많이 발생하는데 이때문에 장마는 애호박의 천적이라 불린다 한국농수산식품유통공사에 따르면 월 일 기준 애호박 한 상자 개 도매가격은 일주일 전보다 오른 만 원에 거래됐다 과일류도 적잖은 영향을 받고 있다 서울시농수산식품공사의 일 기준 사과 부사 한 상자 의 도매가격은 만 원으로 전주 대비 상승했다 여름철 대표 과일인 복숭아 월미 한 상자 는 만 원으로 전주보다 높은 가격에 거래됐다 윤종열 한국농촌경제연구원 과일과채관측팀장은 비가 많이 내리면 당도가 떨어지기 때문에 과일류 작황에 문제가 생길 수밖에 없다 며 수박 참외 등은 시설 재배가 대부분이라 외부 환경에 상대적으로 강한 반면 복숭아와 배는 올해 재배면적이 전년보다 감소한 데다 지난 월 냉해 피해를 입어 단위당 수확량이 줄어든 상태 라고 말했다 윤 팀장은 출하물량 감소로 상 上 품의 도매가격은 상승하고 날씨 영향에 품질이 더 떨어진 중 하품 가격은 하락하는 등 양극화가 심해질 것 이라고 덧붙였다 장마 직후 예고되는 불볕더위도 과일 가격을 끌어올릴 변수가 될 전망이다 뙤약볕이 내리 쬐면 과피가 얼룩지거나 병해충이 발생할 수 있어서다 갖은 이유로 수확량이 줄면 가격은 오를 수밖에 없다 한편 수산물 수급도 영향을 받는 것으로 파악됐다 롯데마트에 따르면 폭우로 남해지역 양식장 바닷물 염분 농도가 낮아지면서 바지락과 홍어 등 수산물이 별도의 검사를 필요로 하는 상황인 것으로 전해졌다 롯데마트 관계자는 품질에 영향이 있을 수 있어 상품 수급에까지 영향을 미칠 염려가 있다 고 말했다 대형마트들은 농산물의 경우 산지와 사전에 일괄 계약을 통해 적정량의 물량을 확보하는 만큼 이번 폭우가 당장 소매가 변동에는 큰 영향을 주지 않을 것이라고 내다봤다 그러나 밭이 유실되는 등 산지의 비 피해가 커지면서 향후 가격 변동 가능성은 배제할 수 없는 상황이라는 점을 우려했다 이마트 관계자는 월 말부터 장마비가 이어지고 앞으로 태풍도 예고돼 농산물 수확 작업이 늦어지고 있다 며 특히 가을에 수확 예정인 과일이나 채소의 경우 지역별로 비 피해가 심할 경우 하반기 도매가가 상승할 가능성도 있어 소비자 물가 변동에 대비하기 위해 예의주시하고 있다 고 말했다 김효혜 기자 박대의 기자 심희진 기자 네이버 메인에서 매일경제 를 받아보세요 매일경제 바로가기 뉴스레터 매콤달콤 구독 매일경제 무단전재 및 재배포 금지 "
"4"," 오류를 우회하기 위한 함수 추가 중앙재난안전대책본부는 철도 이용 수요가 증가하는 추석 연휴 기간 의 해외입국자 전용칸을 축소 운영한다고 밝혔습니다 중대본은 오는 월 일부터 월 일까지 운행노선과 횟수를 축소하지 않는 범위에서 산천은 지금처럼 해외입국자 전용칸을 량으로 유지하며 은 전용칸을 편당 량에서 량으로 축소 운영할 예정입니다 중대본 관계자는 추석 연휴 국민들의 불편을 최소화하고 해외입국자 수송지원에도 문제 없도록 철저히 관리하겠다 고 설명했습니다 박윤수 기자 저작권자 무단복제 재배포 금지 네이버 홈에서 뉴스 채널 구독하기 새로움을 탐험하다 엠빅뉴스 똑똑 스튜디오 복잡한 세상 똑똑하게 살자 "
"5"," 오류를 우회하기 위한 함수 추가 니시무라 재생상 신중하게 생각해야 감염 확산 가능성 스가 관방장관 감염 방지 철저히 하면 리스크 매우 낮아 도쿄 연합뉴스 김호준 특파원 신종 코로나바이러스 감염증 코로나 이 재차 확산하는 일본에서 이달 중순 오봉 한국의 추석 연휴 기간 귀성을 놓고 코로나 대책 주무장관과 정부 대변인인 관방장관이 엇갈린 메시지를 내놓았다 일 산케이신문과 교도통신에 따르면 니시무라 야스토시 西村康稔 경제재생 담당상은 전날 기자회견에서 오봉 귀성에 대해 코로나 감염이 확산할 우려가 있어 신중하게 생각하지 않으면 안 된다 고 말했다 일본의 오봉은 한국의 추석 때처럼 귀성해 성묘하고 가족들이 만나 함께 시간을 보내는 명절이다 법정 공휴일은 아니지만 양력 월 일을 전후로 기업별로 일 이상 쉬고 대부분의 직장인은 이 기간에 맞춰 여름 휴가를 떠난다 기자회견 하는 니시무라 야스토시 일본 경제재생 담당상 도쿄 교도 연합뉴스 니시무라 야스토시 일본 경제재생 담당상이 월 일 오후 도쿄에서 신종 코로나바이러스 감염증 코로나 에 관해 기자회견을 하고 있다 코로나 대책을 담당하는 니시무라 재생상은 가족들이 고향집에서 함께 식사하면 무증상인 젊은 사람이나 아이로부터 고령자에게로 감염이 확산할 가능성이 있다 고 우려했다 실제 일본에선 전날까지 닷새 연속으로 하루 천명대 코로나 확진자가 나와 도도부현 都道府縣 광역자치단체 의 경계를 넘어 이동하는 행위에 대한 경계심이 커지고 있다 그러나 정부 대변인인 스가 요시히데 菅義偉 관방장관은 전날 프로그램에 출연해 오봉 귀성 시즌에 도도부현의 경계를 넘어 이동하는 것에 대해 마스크 착용이나 손 씻기 등 방지책을 철저히 하면 감염 리스크는 매우 낮다 고 입장을 내놓았다 일본 정부가 코로나 확산 방지를 위한 뚜렷한 대책을 내놓지 못해 지자체가 독자적으로 대응하는 상황에서 오봉 귀성을 놓고도 엇갈린 신호를 발신한 셈이다 도도부현의 경계를 넘는 것에 대해서도 일부 지자체는 자제를 호소하고 있지만 중앙 정부는 이를 제한하지 않고 있어 국민들이 혼란을 겪고 있다 노 마스크 기자회견 하는 스가 장관 도쿄 교도 연합뉴스 스가 요시히데 일본 관방장관이 월 일 신종 코로나바이러스 감염증 코로나 예방을 위해 착용해온 마스크를 벗은 채 기자회견을 하고 있다 심지어 일본 정부는 국내 관광 활성화 사업인 고투 트래블 을 계속 진행한다는 입장을 고수하고 있다 스가 장관은 전날 프로그램에서 고투 트래블에 대해 지역경제를 지탱하는 관광업이 빈사 상태라고 해도 과언이 아닐 정도로 매우 어려운 상황에 있다 며 계속 추진 의사를 밝혔다 관광전략실행추진회의 의장도 맡은 스가 장관의 간판 정책은 관광이다 코로나 속보는 네이버 연합뉴스 구독 클릭 팩트체크 검찰총장 힘빼고 장관권한만 강화 제보하기"
"6"," 오류를 우회하기 위한 함수 추가 추석기간 동안 경기도 지역감염자 수 예측감염자 수 감소를 위한 정책 제언 제시 총 상금 만원 파이낸셜뉴스 수원 장충식 기자 경기도와 경기도경제과학진흥원은 데이터에 기반 해 추석 명절 코로나 확진자수를 예측하는 데이터 기반 추석 대비 코로나 예측 공모전 을 개최한다고 일 밝혔다 이번 공모전은 현재 전 세계적으로 이슈가 되고 있는 코로나 에 대한 경각심 제고와 데이터 활용 문화 조성을 위한 것으로 코로나 재 확산 방지를 위한 다양한 정책 제언도 포함한다 공모전 주제는 추석기간 동안 경기도 내 코로나 지역감염 확진자 수 예측 및 감염을 줄이기 위한 정책 제언 으로 경기도민 또는 경기도 소재 대학 원 생 기업 임직원이면 누구나 참여할 수 있다 참여자는 경기도감염병관리지원단에서 매일 공개되는 기본 제공 데이터와 자체적으로 수집 가능한 데이터를 활용해 추석기간 동안 발생할 경기도 내 지역 감염자수를 예측하고 다양한 변수 투입을 통해 감염자 수를 줄이기 위한 정책제언을 결과물로 제출해야 한다 총상금은 만원으로 최우수 팀 우수 팀 장려 팀을 선정할 계획이다 평가는 예측치와 실제 발생한 확진자수와의 비교를 통한 모델링의 정확성 분석 과정의 적절성 정책 제언의 실효성 등을 종합적으로 평가한다 신청기간은 월 일부터 월 일까지로 자세한 사항은 이지비즈를 통한 공고문을 참고하거나 경과원 차산업진흥팀으로 문의하면 된다 장충식 기자 헉 소리나는 스 토리 뉴스 헉스 아는 척 하고 싶은 당신을 위한 두유노우 저작권자 파이낸셜뉴스 무단 전재 재배포 금지 "
"7"," 오류를 우회하기 위한 함수 추가 산재 가입 확대 가림막 설치 물량축소 요청제 명문화 경향신문 일 서울 종로구 참여연대에서 시민사회단체 관계자들이 택배노동자 과로사 대책위원회 출범 기자회견을 하고 있다 연합뉴스지난 일 경남 김해지역 대한통운 택배노동자 서모씨 가 심근경색으로 숨졌다 서씨는 코로나 확산이 본격화한 이후 택배 물량 증가로 인한 피로감을 호소해 왔지만 병원을 찾을 시간조차 없었다 황금연휴 기간이었던 지난 월 일에는 광주에서 일하던 대한통운 택배노동자 정모씨 가 집에서 잠을 자던 중 의식 불명에 빠진 뒤 숨졌다 코로나 확산 이후 개월여 동안 숨진 택배노동자가 확인된 경우만 명이다 택배노동자들은 이번처럼 과로사가 연이어 발생한 적이 없다 고 말했다 택배업계에 따르면 코로나 이후 국내 전체 택배 물량은 기존 대비 약 증가한 것으로 추정된다 택배노동자는 명목상 개인사업자 신분인 특수고용노동자이다 보니 물량이 늘어나도 휴식시간을 법으로 보장받지 못한다 비대면 구매 확산이 누군가의 목숨을 위협하고 있는 것이다 더 큰 문제는 이제부터다 늘어난 물량이 줄어들지 않는 상황에서 장마 후 폭염이 예상되고 있다 추석과 연말을 앞둔 월은 연간 택배 물량이 가장 많은 시기다 아무런 대책이 없다면 택배노동자 과로사가 계속될 수 있다는 우려가 나오는 이유다 일 노동계와 시민단체 진보정당들이 서울 종로구 참여연대에서 기자회견을 열고 택배노동자 과로사 대책위원회 출범을 선언했다 대책위는 민관 공동위원회를 만들어 정부 택배사 대책위가 함께 과로사 방지책 마련을 위해 머리를 맞대자고 제안했다 택배노동환경에 대한 정부 차원의 실태조사가 필요하다고도 밝혔다 택배노동자 산재보험 가입률을 높일 방안 마련과 땡볕에서 진행하는 상하차 작업 시 가림막을 설치해달라는 것도 요구사항이다 김세규 택배연대노조 교육선전국장은 코로나 시기에만이라도 이른 아침부터 점심 무렵까지 진행되는 택배 분류작업에 대체인력을 투입해 줄 것을 택배사에 요청하고 있다 며 또한 당일배송 원칙을 완화해 남은 택배를 물량이 적은 날 배송할 수 있도록 해야 한다 고 했다 업계에서도 과로 예방 대책을 내놨다 이날 대한통운은 물량축소 요청제 를 업계 처음으로 명문화한다고 밝혔다 지금까지 택배노동자가 관행적으로 대리점과 구두 협의를 통해 배송 물량 및 시간을 조정해 오던 것을 표준계약서에 명시함으로써 더 적극적으로 택배노동자 권익을 보호하겠다는 취지의 대책이다 앞서 대한통운 등 개 주요 택배사는 다음달 일을 사상 최초로 택배 없는 날 로 정했다 이에 따라 택배노동자들은 월 일 최장 일간의 휴식이 가능해졌다 정대연 김지원 기자 장도리 그림마당 보기 경향신문 바로가기 경향신문 구독신청하기 경향신문 무단전재 및 재배포 금지"
"8"," 오류를 우회하기 위한 함수 추가 새로 나올 증류식소주는 공용브랜드와 공용병을 사용해 원가를 절감해 가격을 원 수준으로 낮춘다는 계획이다 사진은 증류식 소주병 농촌진흥청 제공국산쌀과 우리 효모로 만든 증류식 전통 소주가 추석 전인 월께 전국에 출시된다 우리나라 소주시장은 희석식소주가 시장의 를 차지해 증류식 소주는 소비량이 매우 적다 농촌진흥청은 앞으로 이 소주를 통해 우리나라에도 증류식 소주 소비붐을 일으킨다는 계획이다 농촌진흥청은 증류식 소주의 대중화를 위해 년부터 전통 증류소주 대중화 프로젝트 를 시작했으며 그 첫 성과물이 월에 출시된다 고 일 밝혔다 이 소주는 경기도 가평과 강원 강릉 충남 당진 제주 성산포에서 생산된 쌀과 이라는 소주용 전용 효모로 제조했으며 기존 희석식 소주와 달리 주정을 쓰지 않고 우리 농산물을 발효시키고 증류해 만들었다 농촌진흥청은 현재 병당 만 원 정도의 증류식 소주를 원대에 판매해 사람들이 대중적으로 즐길 수 있도록 한다는 계획이다 지역별 생산업체는 강릉 자연과사람들 당진 순성왕매실영농조합 가평 우리술 제주 제주바당 등 곳이다 현재 시중에서 소비되는 희석식 소주는 수입 농산물로 제조한다 희석식 소주용 주정 중 를 외국에서 수입하고 나머지 국내에서 생산되는 주정도 대부분 타피오카나 쌀 등 수입 농산물로 만든다 농촌진흥청은 이번에 증류 소주용 효모 을 선발했다 전국에서 수집한 다양한 누룩에서 발효 능력이 우수한 효모를 분리하고 알코올 내성 당분 소비율 관능적 특성 등 가지 검정 과정을 거쳤다 또 쌀을 찌는 과정없이 생쌀가루 그대로 활용해 시간과 비용을 절감한 생쌀 발효법을 개발했다 원료 처리 방법 재료 배합 비율 발효 기술 증류 방법 등 생산 기술도 표준화했다 이와 함께 증류식 소주의 가격 경쟁력을 확보하기 위해 생산자 조직체인 우리소주연합 결성도 지원했다 우리소주연합은 재료 구입을 비롯해 공용병 제작 홍보 마케팅을 공동으로 진행한다 농촌진흥청 발효가공식품과 최준열 과장은 이번에 출시되는 전통 증류식 소주가 우리나라 전통 소주 시장에 새바람을 불러일으킬 수 있도록 기술지원을 아끼지 않겠다 라고 말했다 김덕준 기자 네이버에서 부산일보 구독하기 클릭 터치 부산 앱 출시 부산일보 지면을 내 손 안에 부산일보 홈 바로가기 "
"9"," 오류를 우회하기 위한 함수 추가 고려대 정문 및 본관 전경 고려대 제공 서울 연합뉴스 문다영 기자 고려대는 신종 코로나바이러스 감염증 코로나 확산을 막고자 학기 수업과 성적평가를 정부의 사회적 거리두기 단계에 따라 운영하기로 했다고 일 밝혔다 아울러 올해 추석 연휴 직후 주간은 사회적 거리두기 지침과 상관없이 온라인 수업을 하기로 했다 사회적 거리두기 단계에서는 실시간 온 오프라인 병행수업 을 기본으로 하는 제한적 대면수업과 대면 시험이 원칙이다 실시간 온 오프라인 병행수업은 일부 대면 수업에 참석하는 수강생을 대상으로 강의실 수업을 진행하면서 그 상황을 실시간 중계해 온라인으로도 수업에 참여할 수 있도록 하는 방식이다 사회적 거리두기 단계에서는 전면 온라인수업을 시행하며 성적평가는 비대면 시험으로 하거나 과제물로 대체한다 대면시험은 치르지 않는다 추석 연휴 직후 주간 월 일 월 일 은 온라인 수업을 원칙으로 하고 대면 수업은 제한하기로 했다 추석 연휴에 전국적인 이동으로 코로나 감염이 확산할 위험이 있기 때문이다 대면시험 시행을 위해 시험 기간은 주간으로 변경됐다 중간시험은 월 일부터 월 일까지 기말시험은 월 일부터 일까지 치른다 코로나 속보는 네이버 연합뉴스 구독 클릭 팩트체크 빌 게이츠의 덕담 韓코로나 백신개발은 제보하기"
